彖	彑 bj
姜	⺷女 gb
娄	米女 pb
娟	女⺝ bv
娲	女人 bj
婴	贝女 ob
婺	予女 ib
媾	女土 bg
嫂	女又 br
嫕	女心 bh
嫠	未女 ab
嫡	女古 bc
嫩	女攵 bh
嫽	女小 by
嬖	尸女 cb
嬴	亡丶 fi
子	子 hi
存	𠂇子 nh
孚	爫子 yh
孛	十子 nh
孜	子攵 hh
孝	耂子 qh
孟	子皿 ha
学	⺍子 kh
孪	亠子 zh
孱	尸子 ch
孽	艹子 lh
宅	宀七 wr
宏	宀厶 wk
宛	宀⺋ wz
密	宀山 wv
寇	宀攴 wh
富	宀田 wq
寨	宀木 we
寮	宀小 wy
对	又寸 rk
寺	土寸 gk
寻	彐寸 bk
导	巳寸 vk
尊	丷寸 hk
尔	小 xy
尝	龸云 sb
尧	儿 pp
屣	尸龰 cs
峃	⺍山 kv
峦	亠山 zv
峱	犭山 mv
峻	山夊 vh
崦	山乚 va
嶍	山白 vu
巇	山戈 vp
左	𠂇工 nu
巫	工人 uj
己	己 vj
已	已 vi
巳	巳 vs
巷	龷巳 lv
巽	巳八 vh
布	𠂇巾 nr
帚	彐巾 br
帛	白巾 ur
带	巾 lr
席	广巾 xr
幂	冖巾 wr
幅	巾田 rq
幕	艹巾 lr
年	𠂉 ev
床	广木 xe
庵	广乚 xa
廒	广攵 xh
廿	廿 ln
弃	廾 bl
式	弋工 pu
弑	㐅工 bu
彀	士殳 gr
彗	丰彐 ab
彟	彐又 br
徙	彳龰 ws
徼	彳攵 wh
忌	己心 vh
忒	弋心 ph
志	士心 gh
快	忄人 hj
忱	忄 hp
思	田心 qh
怠	厶心 kh
急	⺈心 xh
怨	夕心 lh
总	丷心 hh
恋	亠心 zh
恙	⺷心 gh
息	自心 oh
恳	艮心 ih
恺	忄己 hv
悉	丿心 th
悒	忄巴 hm
悖	忄子 hh
悛	忄夊 hh
悠	亻心 jh
悯	忄文 hv
惙	忄又 hr
惹	艹心 lh
意	音心 xh
愠	忄皿 ha
慧	丰心 ah
憋	㡀心 fh
憭	忄小 hy
憺	忄言 hs
懵	忄目 hq
懿	士心 gh
戆	音心 xh
戋	一戈 fp
戟	十戈 np
戣	癶戈 hp
戮	羽戈 zp
戳	羽戈 zp
戴	十八 nh
户	户 mh
扇	户羽 mz
扈	户巴 mm
托	扌七 ur
抉	扌人 uj
拣	扌 uy
挨	扌矢 uo
挹	扌巴 um
捋	扌寸 uk
捏	扌土 ug
捩	扌犬 um
掇	扌又 ur
掊	扌口 ud
掏	扌缶 ua
掐	扌臼 up
掩	扌乚 ua
掬	扌米 up
揆	扌大 um
插	扌臼 up
揖	扌耳 uq
搏	扌寸 uk
搐	扌田 uq
搔	扌虫 uc
搜	扌又 ur
搠	扌月 uv
搭	扌口 ud
摔	扌十 un
摘	扌古 uc
摭	扌灬 uc
摴	扌ㄅ ua
撅	扌欠 ue
撇	扌攵 uh
撩	扌小 uy
撵	扌车 uy
攥	扌糸 ui
攫	扌又 ur
改	己攵 vh
攻	工攵 uh
放	方攵 lh
敌	舌攵 ah
敛	亼攵 jh
敬	艹攵 lh
敲	高攴 gh
文	文 vw
旁	方 il
旆	方巾 lr
旨	匕日 vo
旻	日文 ov
昃	日人 oj
昔	龷日 lo
是	日 ot
普	䒑日 ho
晷	日口 od
暇	日又 or
暝	日六 oa
暮	艹日 lo
曾	丷曰 ho
替	夫曰 ho
有	𠂇⺝ nv
朝	十月 nv
未	未 aw
末	一木 fe
朵	几木 oe
杀	㐅朩 be
杏	木口 ed
杰	木灬 ec
枕	木 ep
果	田木 qe
枲	厶木 ke
某	甘木 ze
染	氵木 ke
栀	木⺋ ez
栽	十木 ne
桀	夕木 le
案	宀木 we
桊	丷木 he
桤	木己 ev
桲	木子 eh
梣	木 ea
梦	木夕 el
梭	木夊 eh
棉	木巾 er
棓	木口 ed
棱	木夊 eh
棻	艹木 le
棼	木刀 ep
椭	木⺝ ev
楚	木疋 et
楫	木耳 eq
榑	木寸 ek
榫	木十 en
槊	䒑木 he
槔	木十 en
槜	木乃 ev
橘	木口 ed
橛	木欠 ee
檄	木攵 eh
檐	木言 es
檗	尸木 ce
檩	木示 ef
欲	谷欠 he
